_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
23007,1,330677,A PLUS ACADEMY OF ADVANCEMENT,,PR,,2425 EGLINTON AVE E,Private,330677,2425,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,,104008,111254,2425,,,,125,323561.684,4843596.049,43.7320905499,-79.26710713850001,"{u'type': u'Point', u'coordinates': (-79.2671039369, 43.732081946)}"
23008,2,524780,A R S ARMENIAN PRIVATE SCHOOL,,PR,,50 HALLCROWN PL,Private,524780,50,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,,104008,438652,50,,,,5778,319037.215,4847803.338,43.7700616633,-79.3231593671,"{u'type': u'Point', u'coordinates': (-79.3231561477, 43.7700530625)}"
23009,3,20258267,A Y J GLOBAL ACADEMY,,PR,,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,104008,438287,4,,,,6007,318870.404,4848250.651000001,43.774091174700004,-79.3252196357,"{u'type': u'Point', u'coordinates': (-79.3252164121, 43.7740825707)}"
23010,4,517961,A Y JACKSON SECONDARY SCHOOL,,EP,Toronto District School Board,50 FRANCINE DR,English Public,517961,50,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,102002,436260,50,,,,5639,315536.964,4851708.323,43.8052699092,-79.3665585374,"{u'type': u'Point', u'coordinates': (-79.3665552934, 43.8052613014)}"
23011,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,,PR,,4 CREDIT UNION DR,Private,13967401,4,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,106007,444179,4,,,,5294,319381.84,4842846.853,43.725440832299995,-79.3190132029,"{u'type': u'Point', u'coordinates': (-79.3190099774, 43.7254322328)}"
23012,6,4605052,ABU BAKR EDUCATION ACADEMY,,PR,,2665 LAWRENCE AVE E,Private,4605052,2665,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,,112001,4605051,2665,,,,3828,323953.516,4845749.279,43.751462062799995,-79.26216650239999,"{u'type': u'Point', u'coordinates': (-79.2621633018, 43.7514534549)}"
23013,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,,PR,,5415 DUNDAS ST W,Private,8087266,5415,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,,115001,8087218,5415,,,,558,301468.312,4832670.178,43.633973181,-79.54129347359999,"{u'type': u'Point', u'coordinates': (-79.541290193, 43.6339646128)}"
23014,8,322971,ACADEMIE ALEXANDRE DUMAS,,FP,Conseil scolaire Viamonde,255 CORONATION DR,French Public,322971,255,Coronation Dr,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,Academie Alexandre Dumas,102001,108815,255,,,,7654,330584.51,4846989.839,43.762418808999996,-79.179765211,"{u'type': u'Point', u'coordinates': (-79.1797652167, 43.7624188078)}"
23015,9,575619,ACADEMY OF EXCELLENCE,,PR,,128 WILLOWDALE AVE,Private,575619,128,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,,112001,439396,128,,,,7093,312810.675,4847252.267,43.765194883999996,-79.4005088026,"{u'type': u'Point', u'coordinates': (-79.4005055525, 43.7651862818)}"
23016,10,30029356,ACADEMY OF MATH AND ENGLISH,,PR,,5101 DUNDAS ST W,Private,30029356,5101,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,,112001,30012612,5101,,,,558,302219.227,4833876.289,43.644824251,-79.531989729,"{u'type': u'Point', u'coordinates': (-79.531989733, 43.6448242554)}"
23017,11,9311790,ACADEMY OF NEW ECHO EDUCATION,,PR,,1041 MCNICOLL AVE,Private,9311790,1041,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,115001,9311781,1041,,,,6195,318118.481,4851589.687,43.8041600954,-79.3344771228,"{u'type': u'Point', u'coordinates': (-79.3344738933, 43.8041514842)}"
23018,12,508042,ACE ACUMEN HIGH SCHOOL,,PR,,1440 DON MILLS RD,Private,508042,1440,Don Mills Rd,1440 Don Mills Rd,M3B 3M1,North York,Toronto,,104008,441121,1440,,,,100,317080.624,4845652.945,43.7507406645,-79.347511741,"{u'type': u'Point', u'coordinates': (-79.3475085093, 43.7507320603)}"
23019,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,400 SCARBOROUGH RD,English Public,10476656,400,Scarborough Rd,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,102001,10476638,400,,,,4366,321852.897,4838155.5139999995,43.683160395200005,-79.288491094,"{u'type': u'Point', u'coordinates': (-79.2884878926, 43.6831518038)}"
23020,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,,PR,,4340 DUFFERIN ST,Private,5336735,4340,Dufferin St,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,109001,5336708,4340,,,,557,307501.744,4846970.605,43.762697967600005,-79.4664483784,"{u'type': u'Point', u'coordinates': (-79.4664451058, 43.7626893703)}"
23021,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,,EP,Toronto District School Board,1430 SHEPPARD AVE W,English Public,10133016,1430,Sheppard Ave W,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,102001,10133008,1430,,,,6699,305745.49,4845052.045,43.7454329485,-79.488263932,"{u'type': u'Point', u'coordinates': (-79.4882606578, 43.7454243556)}"
23022,16,316926,AFZAL ISLAMIC MONTESSORI & ACADEMY,,PR,,33 CASEBRIDGE CRT,Private,316926,33,Casebridge Crt,33 Casebridge Crt,M1B 3J5,Scarborough,Toronto,,113001,104065,33,,,,7522,328972.98600000003,4852168.29,43.8090931125,-79.1995493307,"{u'type': u'Point', u'coordinates': (-79.1995461418, 43.8090844902)}"
23023,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,,EP,Toronto District School Board,2621 MIDLAND AVE,English Public,3211411,2621,Midland Ave,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,102002,3216896,2621,,,,8496,322593.773,4849902.825,43.788882451199996,-79.27891316670001,"{u'type': u'Point', u'coordinates': (-79.2789099587, 43.7888738444)}"
23024,18,382096,AGINCOURT INTERNATIONAL ACADEMY,,PR,,1001 SANDHURST CRCL,Private,382096,1001,Sandhurst Crcl,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,,107005,104203,1001,,,,8871,323813.278,4852170.796,43.8092662589,-79.2636803249,"{u'type': u'Point', u'coordinates': (-79.26367712, 43.8092576481)}"
23025,19,356507,AGINCOURT JR PUBLIC SCHOOL,,EP,Toronto District School Board,29 LOCKIE AVE,English Public,356507,29,Lockie Ave,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,Agincourt Junior Public School,102001,106335,29,,,,8352,322412.68,4849834.06,43.788259212,-79.281162303,"{u'type': u'Point', u'coordinates': (-79.2811623057, 43.7882592158)}"
23026,20,5479010,AGINCOURT MONTESSORI,,PR,,2575 MIDLAND AVE,Private,5479010,2575,Midland Ave,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,,115001,5479011,2575,,,,8496,322611.05600000004,4849632.84,43.786451884899996,-79.2787073937,"{u'type': u'Point', u'coordinates': (-79.2787041824, 43.786443273)}"
23027,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,,EP,Toronto District School Board,112 GOLDHAWK TRL,English Public,30022742,112,Goldhawk Trl,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,,102001,103439,112,,,,7999,322613.436,4853279.72,43.819268977,-79.27855339,"{u'type': u'Point', u'coordinates': (-79.2785533935, 43.8192689757)}"
23028,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,,PR,,56 BOUSTEAD AVE,Private,10785753,56,Boustead Ave,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,The Canadian Islamic Trust,109001,10785734,56,,,,3041,308472.656,4834819.391,43.6533174471,-79.454472783,"{u'type': u'Point', u'coordinates': (-79.4544695238, 43.653308868)}"
23029,23,2119588,AL AZHAR ISLAMIC SCHOOL,,PR,,100 MCLEVIN AVE,Private,2119588,100,McLevin Ave,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,,113001,2119589,100,,,,8463,325996.488,4851321.518,43.8015625647,-79.2365782829,"{u'type': u'Point', u'coordinates': (-79.2365750799, 43.8015539474)}"
23030,24,376316,AL HAADI SCHOOL,,PR,,690 PROGRESS AVE,Private,376316,690,Progress Ave,690 Progress Ave,M1H 3A6,Scarborough,Toronto,,113001,107416,690,,,,8740,325052.717,4848695.294,43.7779502024,-79.2484063067,"{u'type': u'Point', u'coordinates': (-79.2484031068, 43.7779415952)}"
23031,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,,PR,,1245 MARTIN GROVE RD,Private,1017314,1245,Martin Grove Rd,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,,113001,908132,1245,,,,2066,298471.017,4841226.098999999,43.7109683061,-79.5785398404,"{u'type': u'Point', u'coordinates': (-79.5785365342, 43.7109597265)}"
23032,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,,PR,,4386 SHEPPARD AVE E,Private,385458,4386,Sheppard Ave E,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,,107005,106449,4386,,,,6698,323258.852,4849748.579,43.7874777875,-79.270654838,"{u'type': u'Point', u'coordinates': (-79.2706516349, 43.787469172)}"
23033,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,,PR,,1470 DON MILLS RD,Private,508045,1470,Don Mills Rd,1470 Don Mills Rd,M3B 2X9,North York,Toronto,,104008,441121,1470,,,,100,317062.265,4845929.1110000005,43.7532267809,-79.3477334041,"{u'type': u'Point', u'coordinates': (-79.3477301744, 43.753218181)}"
23034,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,,PR,,1065 MCNICOLL AVE,Private,9311804,1065,McNicoll Ave,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,115001,9311781,1065,,,,6195,318264.407,4851537.746,43.803689930699996,-79.3326648189,"{u'type': u'Point', u'coordinates': (-79.3326615935, 43.8036813181)}"
23035,29,9655748,ALAZHAR ACADEMY OF CANADA,,PR,,2074 KIPLING AVE,Private,9655748,2074,Kipling Ave,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,,115001,9655707,2074,,,,1935,299222.842,4841660.612,43.7148855066,-79.5692149221,"{u'type': u'Point', u'coordinates': (-79.569211624, 43.7148769185)}"
23036,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,,EP,Toronto District School Board,1550 SANDHURST CRCL,English Public,7531001,1550,Sandhurst Crcl,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,Albert Campbell Collegiate Institute,102002,7531000,1550,,,,8871,323109.511,4852169.367,43.809262538,-79.272424479,"{u'type': u'Point', u'coordinates': (-79.2724244729, 43.8092625383)}"
23037,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,,EP,Toronto District School Board,45 LYNMONT RD,English Public,10133520,45,Lynmont Rd,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,Albion Heights Public School,102001,30065224,45,,,,2033,297202.028,4843496.947,43.731388261999996,-79.594315501,"{u'type': u'Point', u'coordinates': (-79.5943154959, 43.731388264)}"
23038,32,982437,ALBION LINC,,EP,Toronto District School Board,1530 ALBION RD,English Public,982437,1530,Albion Rd,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,,107004,906946,1530,,,,1012,297985.70399999997,4844648.643,43.7417711321,-79.5846054412,"{u'type': u'Point', u'coordinates': (-79.584602138, 43.7417625405)}"
23039,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,,PR,,20 TANGREEN CRT,Private,11125044,20,Tangreen Crt,20 Tangreen Crt,M2M 3Y9,North York,Toronto,,115001,11125045,20,,,,6855,310739.42699999997,4850617.482,43.795496578999995,-79.42619365600001,"{u'type': u'Point', u'coordinates': (-79.4261936575, 43.79549658)}"
23040,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,108 GLADSTONE AVE,English Public,10527839,108,Gladstone Ave,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,102001,10527836,108,,,,3506,310540.136,4834011.231000001,43.646021246000004,-79.428847257,"{u'type': u'Point', u'coordinates': (-79.4288472632, 43.6460212506)}"
23041,35,333733,ALEXANDER STIRLING PUBLIC SCHOOL,,EP,Toronto District School Board,70 FAWCETT TRL,English Public,333733,70,Fawcett Trl,70 Fawcett Trl,M1B 3A9,Scarborough,Toronto,Alexander Stirling Public School,102001,103838,70,,,,7886,328323.526,4852451.693,43.8116649478,-79.2076091314,"{u'type': u'Point', u'coordinates': (-79.2076059405, 43.8116563251)}"
23042,36,300827,ALEXMUIR JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,95 ALEXMUIR BLVD,English Public,300827,95,Alexmuir Blvd,95 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,Alexmuir Public School,102001,104290,95,,,,7182,322048.437,4852149.512,43.8091179409,-79.28561671140001,"{u'type': u'Point', u'coordinates': (-79.2856134903, 43.8091093227)}"
23043,37,9779413,ALIF CANADA ELEMENTARY SCHOOL,,PR,,505 ELLESMERE RD,Private,9779413,505,Ellesmere Rd,505 Ellesmere Rd,M1R 4E5,Scarborough,Toronto,Vineyard Christian Fellowship-Sc,109001,30101335,505,,,,7835,321312.498,4846931.326,43.762156748,-79.294921301,"{u'type': u'Point', u'coordinates': (-79.294921297, 43.7621567551)}"
23044,38,9345080,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,,PR,,720 PROGRESS AVE,Private,9345080,720,Progress Ave,720 Progress Ave,M1H 2X3,Scarborough,Toronto,,115001,9345078,720,,,,8740,325205.728,4848833.8,43.779192708500005,-79.2465002188,"{u'type': u'Point', u'coordinates': (-79.246497022, 43.7791840974)}"
23045,39,1029710,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,1435 ROYAL YORK RD,English Separate,1029710,1435,Royal York Rd,1435 Royal York Rd,M9P 3A7,Etobicoke,Toronto,All Saints Catholic School,102003,909246,1435,,,,2413,302616.69399999996,4838364.078,43.685221626,-79.52708112399999,"{u'type': u'Point', u'coordinates': (-79.5270811218, 43.6852216298)}"
23046,40,873148,ALLENBY JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,391 ST CLEMENTS AVE,English Public,873148,391,St Clements Ave,391 St Clements Ave,M5N 1M2,former Toronto,Toronto,Allenby Junior Public School,102001,1138238,391,,,,4446,311828.308,4841057.478999999,43.7094442341,-79.4127909823,"{u'type': u'Point', u'coordinates': (-79.4127877318, 43.7094356429)}"
23047,41,4368161,AL-MADRASAH AL-INAMYYAH,,PR,,3665 LAWRENCE AVE E,Private,4368161,3665,Lawrence Ave E,3665 Lawrence Ave E,M1G 1P7,Scarborough,Toronto,,112001,4368146,3665,,,,3828,327311.905,4846744.96,43.7603298881,-79.2204227942,"{u'type': u'Point', u'coordinates': (-79.2204196022, 43.7603212832)}"
23048,42,3948771,ALPHA ALTERNATIVE JUNIOR SCHOOL,,EP,Toronto District School Board,20 BRANT ST,English Public,3948771,20,Brant St,20 Brant St,M5V 2M1,former Toronto,Toronto,Alpha Alternative Junior Public School,102001,14036014,20,,,,3055,313010.775,4833980.563,43.645730609,-79.39822582149999,"{u'type': u'Point', u'coordinates': (-79.3982225847, 43.6457220332)}"
23049,43,6710176,ALPHA II ALTERNATIVE SCHOOL,,EP,Toronto District School Board,1141 BLOOR ST W,English Public,6710176,1141,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,102002,6710177,1141,,,,458,309897.693,4835479.919,43.659246105,-79.436796896,"{u'type': u'Point', u'coordinates': (-79.4367968964, 43.659246108)}"
23050,44,30025396,ALPHA QUALITY EDUCATION INC,,PR,,6120A YONGE ST,Private,30025396,6120A,Yonge St,6120A Yonge St,M2M 3W7,North York,Toronto,,115001,436914,6120,A,,,4733,311324.211,4850187.603,43.79162225899999,-79.418932077,"{u'type': u'Point', u'coordinates': (-79.4189320716, 43.7916222613)}"
23051,45,11512110,AL-QASIM ACADEMY,,PR,,3482 LAWRENCE AVE E,Private,11512110,3482,Lawrence Ave E,3482 Lawrence Ave E,M1H 3E5,Scarborough,Toronto,,107005,11485087,3482,,,,3828,326774.225,4846721.824,43.760129166000006,-79.227098042,"{u'type': u'Point', u'coordinates': (-79.2270980416, 43.7601291639)}"
23052,46,489054,AL-RASSOOL ISLAMIC SCHOOL,,PR,,120 BERMONDSEY RD,Private,489054,120,Bermondsey Rd,120 Bermondsey Rd,M4A 1X5,North York,Toronto,,113001,444998,120,,,,31,319738.321,4841990.0430000005,43.717721421499995,-79.314612348,"{u'type': u'Point', u'coordinates': (-79.3146091354, 43.7177128216)}"
23053,47,312808,ALTERNATIVE SCARBOROUGH EDUCATION ONE,,EP,Toronto District School Board,60 BRIMORTON DR,English Public,312808,60,Brimorton Dr,60 Brimorton Dr,M1P 3Z1,Scarborough,Toronto,St. Andrews Public School,102001,108579,60,,,,7437,324541.803,4847438.763,43.76665385689999,-79.2547994819,"{u'type': u'Point', u'coordinates': (-79.2547962817, 43.7666452472)}"
23054,48,30033029,ALVIN CURLING PUBLIC SCHOOL,,EP,Toronto District School Board,50 UPPER ROUGE TRL,English Public,30033029,50,Upper Rouge Trl,50 Upper Rouge Trl,M1B 6K4,Scarborough,Toronto,Meadowvale Sheppard Public School,102002,20057597,50,,,,18115,329722.022,4852104.077,43.80848165,-79.190239252,"{u'type': u'Point', u'coordinates': (-79.1902392505, 43.8084816563)}"
23055,49,9187246,AMAIRAH PRIVATE SCHOOL,,PR,,1625 ALBION RD,Private,9187246,1625,Albion Rd,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,,115001,9187244,1625,,,,1012,297180.795,4844643.912,43.741720708900004,-79.5945986322,"{u'type': u'Point', u'coordinates': (-79.5945953168, 43.7417121222)}"
23056,50,20037304,AMANAH ISLAMIC ACADEMY,,PR,,1160 BIRCHMOUNT RD,Private,20037304,1160,Birchmount Rd,1160 Birchmount Rd,M1P 2B8,Scarborough,Toronto,,113001,110728,1160,,,,7365,322211.74199999997,4844597.156,43.741134584799994,-79.2838319655,"{u'type': u'Point', u'coordinates': (-79.283828754, 43.7411259867)}"
23057,51,5145165,AMBERSON COLLEGE HIGH SCHOOL,,PR,,3470 PHARMACY AVE,Private,5145165,3470,Pharmacy Ave,3470 Pharmacy Ave,M1W 2S7,Scarborough,Toronto,,113001,5145162,3470,,,,8691,318151.026,4852118.593,43.808920233100004,-79.3340594642,"{u'type': u'Point', u'coordinates': (-79.3340562371, 43.8089116211)}"
23058,52,10035747,AMESBURY MIDDLE SCHOOL,,EP,Toronto District School Board,201 GRACEFIELD AVE,English Public,10035747,201,Gracefield Ave,201 Gracefield Ave,M6L 1L7,North York,Toronto,Amesbury Middle School,102001,10035736,201,,,,5729,305341.38399999996,4840941.93,43.70842862600001,-79.493282227,"{u'type': u'Point', u'coordinates': (-79.4932822328, 43.7084286283)}"
23059,53,482522,ANCASTER PUBLIC SCHOOL,,EP,Toronto District School Board,44 ANCASTER RD,English Public,482522,44,Ancaster Rd,44 Ancaster Rd,M3K 1S6,North York,Toronto,Ancaster Public School,102001,30093012,44,,,,4795,307458.979,4843657.343,43.732866166,-79.46699263,"{u'type': u'Point', u'coordinates': (-79.4669926272, 43.7328661717)}"
23060,54,7992305,ANNETTE STREET JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,265 ANNETTE ST,English Public,7992305,265,Annette St,265 Annette St,M6P 1R3,former Toronto,Toronto,Annette Street Public School,102001,7987734,265,,,,2890,306991.234,4835720.198,43.6614317701,-79.4728345371,"{u'type': u'Point', u'coordinates': (-79.4728312798, 43.6614231859)}"
23061,55,485399,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,65 AVONWICK GT,English Separate,485399,65,Avonwick Gt,65 Avonwick Gt,M3A 2M8,North York,Toronto,Annunciation Catholic School,102003,440701,65,,,,4855,319210.814,4845921.885,43.753114481000004,-79.321050326,"{u'type': u'Point', u'coordinates': (-79.3210503279, 43.7531144811)}"
23062,56,358063,ANSON PARK PUBLIC SCHOOL,,EP,Toronto District School Board,30 MACDUFF CRES,English Public,358063,30,Macduff Cres,30 Macduff Cres,M1M 1X5,Scarborough,Toronto,Anson Park Public School,102001,111602,30,,,,8385,325657.338,4842940.903,43.726128915,-79.24111542600001,"{u'type': u'Point', u'coordinates': (-79.2411154202, 43.7261289166)}"
23063,57,374465,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,20 PLACENTIA BLVD,English Public,374465,20,Placentia Blvd,20 Placentia Blvd,M1S 4C5,Scarborough,Toronto,Anson S Taylor Junior Public School,102001,104662,20,,,,8711,323985.092,4851619.6110000005,43.80430059020001,-79.261564543,"{u'type': u'Point', u'coordinates': (-79.2615613356, 43.8042919764)}"
23064,58,7131439,APOLLO HIGH SCHOOL,,PR,,5467 YONGE ST,Private,7131439,5467,Yonge St,5467 Yonge St,M2N 5S1,North York,Toronto,,107010,7131429,5467,,,,4733,311665.481,4848654.174,43.7778251706,-79.41471443430001,"{u'type': u'Point', u'coordinates': (-79.4147111813, 43.7778165673)}"
23065,59,571348,APPLE ACADEMIC ACHIEVMENT CANADA,,PR,,488 VAN HORNE AVE,Private,571348,488,Van Horne Ave,488 Van Horne Ave,M2J 2V2,North York,Toronto,,100001,437213,488,,,,6984,317685.971,4849705.131,43.787204683999995,-79.33989776850001,"{u'type': u'Point', u'coordinates': (-79.3398945338, 43.7871960727)}"
23066,60,3107754,ARBOR GLEN PUBLIC SCHOOL,,EP,Toronto District School Board,55 FRESHMEADOW DR,English Public,3107754,55,Freshmeadow Dr,55 Freshmeadow Dr,M2H 3H6,North York,Toronto,Arbor Glen Public School,102001,3107766,55,,,,5647,316408.803,4852179.183,43.8094949961,-79.3557126812,"{u'type': u'Point', u'coordinates': (-79.3557094448, 43.8094863867)}"
23067,61,35493,ARISTOTELE'S CREDIT SCHOOL,,PR,,30 THORNCLIFFE PARK DR,Private,35493,30,Thorncliffe Park Dr,30 Thorncliffe Park Dr,M4H 1H8,East York,Toronto,St Demetrious Church,109001,30098783,30,,,,354,317296.545,4840345.875,43.702958416,-79.344950646,"{u'type': u'Point', u'coordinates': (-79.3449506416, 43.7029584141)}"
23068,62,561783,ARKANA EDUCATION - PRIVATE HIGH SCHOOL,,PR,,209 SHEPPARD AVE E,Private,561783,209,Sheppard Ave E,209 Sheppard Ave E,M2N 3A8,North York,Toronto,,107005,30058814,209,,,,6698,312973.297,4847111.319,43.763915811000004,-79.398487895,"{u'type': u'Point', u'coordinates': (-79.3984878979, 43.7639158093)}"
23069,63,576041,ARMOUR HEIGHTS PUBLIC SCHOOL,,EP,Toronto District School Board,148 WILSON AVE,English Public,576041,148,Wilson Ave,148 Wilson Ave,M5M 3A5,North York,Toronto,Armour Heights Public School,102001,20055791,148,,,,4693,311282.186,4844553.603,43.7409186369,-79.4195255366,"{u'type': u'Point', u'coordinates': (-79.4195222788, 43.7409100432)}"
23070,64,871450,ARROWSMITH SCHOOL - BLDG 1,,PR,,245 ST CLAIR AVE W,Private,871450,245,St Clair Ave W,245 St Clair Ave W,M4V 1R3,former Toronto,Toronto,,112001,1139588,245,,,,890,312394.669,4838397.773,43.6854979104,-79.4058006591,"{u'type': u'Point', u'coordinates': (-79.4057974162, 43.6854893205)}"
23071,65,871449,ARROWSMITH SCHOOL - BLDG 2,,PR,,243 ST CLAIR AVE W,Private,871449,243,St Clair Ave W,243 St Clair Ave W,M4V 1R3,former Toronto,Toronto,Russian Orthodox Church,109001,1139588,243,,,,890,312403.69800000003,4838399.281,43.685511393,-79.4056886476,"{u'type': u'Point', u'coordinates': (-79.4056854013, 43.6855028021)}"
23072,66,13516164,ASSOCIATED HEBREW JR SCHOOL - POSLUNS CAMPUS,,PR,,18 NEPTUNE DR,Private,13516164,18,Neptune Dr,18 Neptune Dr,M6A 1X1,North York,Toronto,,102008,10367830,18,,,,6275,310096.539,4843507.071,43.7315079844,-79.43425589479999,"{u'type': u'Point', u'coordinates': (-79.4342526359, 43.7314993952)}"
23073,67,11129594,ASSOCIATED HEBREW MIDDLE SCHOOL - HURWICH CAMPUS,,PR,,252 FINCH AVE W,Private,11129594,252,Finch Ave W,252 Finch Ave W,M2R 1M9,North York,Toronto,,115001,11129595,252,,,,1610,309753.18100000004,4848374.685,43.775324706400006,-79.4384732143,"{u'type': u'Point', u'coordinates': (-79.4384699547, 43.7753161016)}"
23074,68,13977971,AVALON CHILDREN'S MONTESSORI,,PR,,2181 QUEEN ST E,Private,13977971,2181,Queen St E,2181 Queen St E,M4E 1E5,former Toronto,Toronto,,115001,8265442,2181,,,,4237,321143.849,4836738.563,43.670421976899995,-79.2973285087,"{u'type': u'Point', u'coordinates': (-79.2973253011, 43.6704133895)}"
23075,69,485329,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,,EP,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,115001,439906,171,,,,4853,312851.94899999996,4846640.411,43.759678414,-79.400002094,"{u'type': u'Point', u'coordinates': (-79.4000020943, 43.7596784143)}"
23076,70,7315504,AVONDALE ALTERNATIVE SECONDARY SCHOOL,,EP,Toronto District School Board,24 SILVERVIEW DR,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,,,,6720,311895.344,4849597.6219999995,43.7863151134,-79.4118464145,"{u'type': u'Point', u'coordinates': (-79.4118431542, 43.7863065106)}"
23077,71,485329,AVONDALE PUBLIC SCHOOL,,EP,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,115001,439906,171,,,,4853,312851.94899999996,4846640.411,43.759678414,-79.400002094,"{u'type': u'Point', u'coordinates': (-79.4000020943, 43.7596784143)}"
23078,72,1368930,AVRO ACADEMY,,PR,,1640A AVENUE RD,Private,1368930,1640A,Avenue Rd,1640A Avenue Rd,M5M 3X9,North York,Toronto,,115001,20364202,1640,A,,,2924,311453.148,4842896.196,43.7259984345,-79.4174235008,"{u'type': u'Point', u'coordinates': (-79.4174202536, 43.725989843)}"
23079,73,9171677,BAIS CHAYA MUSHKA GIRLS,,PR,,4375 CHESSWOOD DR,Private,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,115001,9171675,4375,,,,5187,306616.368,4846750.2069999995,43.7607168241,-79.4774452488,"{u'type': u'Point', u'coordinates': (-79.4774419814, 43.7607082264)}"
