_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
23287,281,568398,DON MILLS COLLEGIATE INSTITUTE,,EP,Toronto District School Board,15 THE DONWAY E,English Public,568398,15,The Donway E,15 The Donway E,M3C 1X6,North York,Toronto,Don Mills Collegiate Institute,102002,443123,15,,,,6881,317746.705,4844013.0,43.7359678834,-79.3392803758,"{u'type': u'Point', u'coordinates': (-79.3392771474, 43.7359592882)}"
23288,282,508045,DON MILLS LINC,,EP,Toronto District School Board,1470 DON MILLS RD,English Public,508045,1470,Don Mills Rd,1470 Don Mills Rd,M3B 2X9,North York,Toronto,,104008,441121,1470,,,,100,317062.265,4845929.1110000005,43.7532267809,-79.3477334041,"{u'type': u'Point', u'coordinates': (-79.3477301744, 43.753218181)}"
23289,283,568400,DON MILLS MIDDLE SCHOOL,,EP,Toronto District School Board,17 THE DONWAY E,English Public,568400,17,The Donway E,17 The Donway E,M3C 1X6,North York,Toronto,Don Mills Middle School - Building Grounds,102001,443123,17,,,,6881,317708.75899999996,4844059.633,43.736379701000004,-79.339747092,"{u'type': u'Point', u'coordinates': (-79.339747095, 43.7363797021)}"
23290,284,578489,DON VALLEY ACADEMY SECONDARY SCHOOL,,PR,,4576 YONGE ST,Private,578489,4576,Yonge St,4576 Yonge St,M2N 6N4,North York,Toronto,,104008,440623,4576,,,,4733,312039.61600000004,4846242.937,43.7561176624,-79.4100991271,"{u'type': u'Point', u'coordinates': (-79.4100958776, 43.7561090603)}"
23291,285,10906428,DON VALLEY MIDDLE SCHOOL,,EP,Toronto District School Board,3100 DON MILLS RD,English Public,10906428,3100,Don Mills Rd,3100 Don Mills Rd,M2J 3C3,North York,Toronto,Don Valley Junior High School,102001,10906429,3100,,,,100,316472.455,4849962.511,43.789541513900005,-79.3549698034,"{u'type': u'Point', u'coordinates': (-79.3549665619, 43.7895329063)}"
23292,286,513470,DONVIEW MIDDLE HEALTH AND WELLNESS ACADEMY,,EP,Toronto District School Board,20 EVERMEDE DR,English Public,513470,20,Evermede Dr,20 Evermede Dr,M3A 2S3,North York,Toronto,Donview Middle School,102001,439470,20,,,,5540,318371.767,4847150.328,43.7641963209,-79.33144153319999,"{u'type': u'Point', u'coordinates': (-79.3314383069, 43.7641877197)}"
23293,287,343751,DONWOOD PARK JUNIOR PUBLIC SCHOOL - HIGHBROOK SITE,,EP,Toronto District School Board,39 HIGHBROOK DR,English Public,343751,39,Highbrook Dr,39 Highbrook Dr,M1P 3L2,Scarborough,Toronto,Donwood Park Public School Highbrook Campus,102001,30107363,39,,,,8098,323896.036,4846348.204,43.756845935,-79.262855766,"{u'type': u'Point', u'coordinates': (-79.2628557599, 43.7568459336)}"
23294,288,328292,DONWOOD PARK JUNIOR PUBLIC SCHOOL - MAIN SITE,,EP,Toronto District School Board,61 DORCOT AVE,English Public,328292,61,Dorcot Ave,61 Dorcot Ave,M1P 3K5,Scarborough,Toronto,Donwood Park Public School,102001,109362,61,,,,7764,323935.503,4846363.024,43.7569869147,-79.2623683219,"{u'type': u'Point', u'coordinates': (-79.262365115, 43.7569783122)}"
23295,289,30114303,DORA EDUCATION CENTRE,,PR,,3333 BAYVIEW AVE,Private,30114303,3333,Bayview Ave,3333 Bayview Ave,M2K 1G4,North York,Toronto,,115001,11485139,3333,,,,24,313434.215,4850241.853999999,43.792088973999995,-79.39271295,"{u'type': u'Point', u'coordinates': (-79.3927129483, 43.7920889772)}"
23296,290,309262,DORSET PARK PUBLIC SCHOOL,,EP,Toronto District School Board,28 BLAISDALE RD,English Public,309262,28,Blaisdale Rd,28 Blaisdale Rd,M1P 1V6,Scarborough,Toronto,Dorset Park Public School,102001,109925,28,,,,7374,322538.79600000003,4845605.123,43.750191093000005,-79.279735053,"{u'type': u'Point', u'coordinates': (-79.2797350588, 43.7501910914)}"
23297,291,6619920,DOVERCOURT JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,228 BARTLETT AVE,English Public,6619920,228,Bartlett Ave,228 Bartlett Ave,M6H 3G4,former Toronto,Toronto,Dovercourt Public School,102001,14234587,228,,,,2952,309979.152,4836312.025,43.6667441922,-79.4357822098,"{u'type': u'Point', u'coordinates': (-79.4357789541, 43.6667356106)}"
23298,292,10154479,DOWNSVIEW PUBLIC SCHOOL,,EP,Toronto District School Board,2829 KEELE ST,English Public,10154479,2829,Keele St,2829 Keele St,M3M 2G7,North York,Toronto,Downsview Public School,102001,10154475,2829,,,,703,306214.963,4843462.287,43.7311224379,-79.4824390645,"{u'type': u'Point', u'coordinates': (-79.482435796, 43.7311138437)}"
